Cancer Sites,Year,States,Count
All Invasive Cancer Sites Combined,1999,Alabama,19289
All Invasive Cancer Sites Combined,1999,Alaska,1968
All Invasive Cancer Sites Combined,1999,Arizona,21430
All Invasive Cancer Sites Combined,1999,Arkansas,12555
All Invasive Cancer Sites Combined,1999,California,136403
All Invasive Cancer Sites Combined,1999,Colorado,16146
All Invasive Cancer Sites Combined,1999,Connecticut,18710
All Invasive Cancer Sites Combined,1999,Delaware,3979
All Invasive Cancer Sites Combined,1999,District of Columbia,2912
All Invasive Cancer Sites Combined,1999,Florida,100207
All Invasive Cancer Sites Combined,1999,Georgia,30417
All Invasive Cancer Sites Combined,1999,Hawaii,5377
All Invasive Cancer Sites Combined,1999,Idaho,5210
All Invasive Cancer Sites Combined,1999,Illinois,58861
All Invasive Cancer Sites Combined,1999,Indiana,27790
All Invasive Cancer Sites Combined,1999,Iowa,15813
All Invasive Cancer Sites Combined,1999,Kansas,12726
All Invasive Cancer Sites Combined,1999,Kentucky,20889
All Invasive Cancer Sites Combined,1999,Louisiana,20450
All Invasive Cancer Sites Combined,1999,Maine,7186
All Invasive Cancer Sites Combined,1999,Maryland,24819
All Invasive Cancer Sites Combined,1999,Massachusetts,33065
All Invasive Cancer Sites Combined,1999,Michigan,50498
All Invasive Cancer Sites Combined,1999,Minnesota,21869
All Invasive Cancer Sites Combined,1999,Missouri,27699
All Invasive Cancer Sites Combined,1999,Montana,4600
All Invasive Cancer Sites Combined,1999,Nebraska,8543
All Invasive Cancer Sites Combined,1999,Nevada,7621
All Invasive Cancer Sites Combined,1999,New Hampshire,5873
All Invasive Cancer Sites Combined,1999,New Jersey,45377
All Invasive Cancer Sites Combined,1999,New Mexico,7308
All Invasive Cancer Sites Combined,1999,New York,94563
All Invasive Cancer Sites Combined,1999,North Carolina,34563
All Invasive Cancer Sites Combined,1999,North Dakota,3196
All Invasive Cancer Sites Combined,1999,Ohio,57125
All Invasive Cancer Sites Combined,1999,Oklahoma,16105
All Invasive Cancer Sites Combined,1999,Oregon,17616
All Invasive Cancer Sites Combined,1999,Pennsylvania,70907
All Invasive Cancer Sites Combined,1999,Rhode Island,6125
All Invasive Cancer Sites Combined,1999,South Carolina,18865
All Invasive Cancer Sites Combined,1999,Tennessee,22108
All Invasive Cancer Sites Combined,1999,Texas,80689
All Invasive Cancer Sites Combined,1999,Utah,6639
All Invasive Cancer Sites Combined,1999,Vermont,3188
All Invasive Cancer Sites Combined,1999,Virginia,28796
All Invasive Cancer Sites Combined,1999,Washington,28173
All Invasive Cancer Sites Combined,1999,West Virginia,10565
All Invasive Cancer Sites Combined,1999,Wisconsin,26849
All Invasive Cancer Sites Combined,1999,Wyoming,2206
All Invasive Cancer Sites Combined,2000,Alabama,19858
All Invasive Cancer Sites Combined,2000,Alaska,2059
All Invasive Cancer Sites Combined,2000,Arizona,22127
All Invasive Cancer Sites Combined,2000,Arkansas,12736
All Invasive Cancer Sites Combined,2000,California,137509
All Invasive Cancer Sites Combined,2000,Colorado,16788
All Invasive Cancer Sites Combined,2000,Connecticut,19214
All Invasive Cancer Sites Combined,2000,Delaware,4161
All Invasive Cancer Sites Combined,2000,District of Columbia,2937
All Invasive Cancer Sites Combined,2000,Florida,103879
All Invasive Cancer Sites Combined,2000,Georgia,33036
All Invasive Cancer Sites Combined,2000,Hawaii,5263
All Invasive Cancer Sites Combined,2000,Idaho,5672
All Invasive Cancer Sites Combined,2000,Illinois,59192
All Invasive Cancer Sites Combined,2000,Indiana,28967
All Invasive Cancer Sites Combined,2000,Iowa,15762
All Invasive Cancer Sites Combined,2000,Kansas,12812
All Invasive Cancer Sites Combined,2000,Kentucky,21365
All Invasive Cancer Sites Combined,2000,Louisiana,20768
All Invasive Cancer Sites Combined,2000,Maine,7602
All Invasive Cancer Sites Combined,2000,Maryland,25125
All Invasive Cancer Sites Combined,2000,Massachusetts,33589
All Invasive Cancer Sites Combined,2000,Michigan,51328
All Invasive Cancer Sites Combined,2000,Minnesota,22788
All Invasive Cancer Sites Combined,2000,Missouri,27495
All Invasive Cancer Sites Combined,2000,Montana,4803
All Invasive Cancer Sites Combined,2000,Nebraska,8596
All Invasive Cancer Sites Combined,2000,Nevada,9660
All Invasive Cancer Sites Combined,2000,New Hampshire,6231
All Invasive Cancer Sites Combined,2000,New Jersey,46472
All Invasive Cancer Sites Combined,2000,New Mexico,7289
All Invasive Cancer Sites Combined,2000,New York,97336
All Invasive Cancer Sites Combined,2000,North Carolina,36505
All Invasive Cancer Sites Combined,2000,North Dakota,3205
All Invasive Cancer Sites Combined,2000,Ohio,55879
All Invasive Cancer Sites Combined,2000,Oklahoma,16370
All Invasive Cancer Sites Combined,2000,Oregon,17458
All Invasive Cancer Sites Combined,2000,Pennsylvania,71428
All Invasive Cancer Sites Combined,2000,Rhode Island,6170
All Invasive Cancer Sites Combined,2000,South Carolina,19000
All Invasive Cancer Sites Combined,2000,Tennessee,23191
All Invasive Cancer Sites Combined,2000,Texas,83153
All Invasive Cancer Sites Combined,2000,Utah,6570
All Invasive Cancer Sites Combined,2000,Vermont,3101
All Invasive Cancer Sites Combined,2000,Virginia,29651
All Invasive Cancer Sites Combined,2000,Washington,28104
All Invasive Cancer Sites Combined,2000,West Virginia,10634
All Invasive Cancer Sites Combined,2000,Wisconsin,26701
All Invasive Cancer Sites Combined,2000,Wyoming,2234
All Invasive Cancer Sites Combined,2001,Alabama,21087
All Invasive Cancer Sites Combined,2001,Alaska,2188
All Invasive Cancer Sites Combined,2001,Arizona,23369
All Invasive Cancer Sites Combined,2001,Arkansas,13248
All Invasive Cancer Sites Combined,2001,California,142479
All Invasive Cancer Sites Combined,2001,Colorado,17836
All Invasive Cancer Sites Combined,2001,Connecticut,19666
All Invasive Cancer Sites Combined,2001,Delaware,4330
All Invasive Cancer Sites Combined,2001,District of Columbia,2867
All Invasive Cancer Sites Combined,2001,Florida,105377
All Invasive Cancer Sites Combined,2001,Georgia,34579
All Invasive Cancer Sites Combined,2001,Hawaii,5596
All Invasive Cancer Sites Combined,2001,Idaho,5755
All Invasive Cancer Sites Combined,2001,Illinois,60963
All Invasive Cancer Sites Combined,2001,Indiana,30283
All Invasive Cancer Sites Combined,2001,Iowa,16235
All Invasive Cancer Sites Combined,2001,Kansas,12815
All Invasive Cancer Sites Combined,2001,Kentucky,21917
All Invasive Cancer Sites Combined,2001,Louisiana,21447
All Invasive Cancer Sites Combined,2001,Maine,7864
All Invasive Cancer Sites Combined,2001,Maryland,24619
All Invasive Cancer Sites Combined,2001,Massachusetts,34459
All Invasive Cancer Sites Combined,2001,Michigan,52232
All Invasive Cancer Sites Combined,2001,Minnesota,23678
All Invasive Cancer Sites Combined,2001,Missouri,28329
All Invasive Cancer Sites Combined,2001,Montana,5010
All Invasive Cancer Sites Combined,2001,Nebraska,8673
All Invasive Cancer Sites Combined,2001,Nevada,9912
All Invasive Cancer Sites Combined,2001,New Hampshire,6537
All Invasive Cancer Sites Combined,2001,New Jersey,48775
All Invasive Cancer Sites Combined,2001,New Mexico,7686
All Invasive Cancer Sites Combined,2001,New York,98359
All Invasive Cancer Sites Combined,2001,North Carolina,37550
All Invasive Cancer Sites Combined,2001,North Dakota,3272
All Invasive Cancer Sites Combined,2001,Ohio,57679
All Invasive Cancer Sites Combined,2001,Oklahoma,16877
All Invasive Cancer Sites Combined,2001,Oregon,17860
All Invasive Cancer Sites Combined,2001,Pennsylvania,74733
All Invasive Cancer Sites Combined,2001,Rhode Island,6177
All Invasive Cancer Sites Combined,2001,South Carolina,19792
All Invasive Cancer Sites Combined,2001,South Dakota,3968
All Invasive Cancer Sites Combined,2001,Tennessee,23449
All Invasive Cancer Sites Combined,2001,Texas,87692
All Invasive Cancer Sites Combined,2001,Utah,7026
All Invasive Cancer Sites Combined,2001,Vermont,3215
All Invasive Cancer Sites Combined,2001,Virginia,29072
All Invasive Cancer Sites Combined,2001,Washington,29369
All Invasive Cancer Sites Combined,2001,West Virginia,10996
All Invasive Cancer Sites Combined,2001,Wisconsin,27938
All Invasive Cancer Sites Combined,2001,Wyoming,2227
All Invasive Cancer Sites Combined,2002,Alabama,21422
All Invasive Cancer Sites Combined,2002,Alaska,2246
All Invasive Cancer Sites Combined,2002,Arizona,23578
All Invasive Cancer Sites Combined,2002,Arkansas,13266
All Invasive Cancer Sites Combined,2002,California,144144
All Invasive Cancer Sites Combined,2002,Colorado,18005
All Invasive Cancer Sites Combined,2002,Connecticut,19612
All Invasive Cancer Sites Combined,2002,Delaware,4364
All Invasive Cancer Sites Combined,2002,District of Columbia,2888
All Invasive Cancer Sites Combined,2002,Florida,104453
All Invasive Cancer Sites Combined,2002,Georgia,35708
All Invasive Cancer Sites Combined,2002,Hawaii,5626
All Invasive Cancer Sites Combined,2002,Idaho,5979
All Invasive Cancer Sites Combined,2002,Illinois,62385
All Invasive Cancer Sites Combined,2002,Indiana,30689
All Invasive Cancer Sites Combined,2002,Iowa,16354
All Invasive Cancer Sites Combined,2002,Kansas,12920
All Invasive Cancer Sites Combined,2002,Kentucky,21924
All Invasive Cancer Sites Combined,2002,Louisiana,21595
All Invasive Cancer Sites Combined,2002,Maine,7916
All Invasive Cancer Sites Combined,2002,Maryland,26495
All Invasive Cancer Sites Combined,2002,Massachusetts,35217
All Invasive Cancer Sites Combined,2002,Michigan,53043
All Invasive Cancer Sites Combined,2002,Minnesota,23841
All Invasive Cancer Sites Combined,2002,Missouri,28632
All Invasive Cancer Sites Combined,2002,Montana,5024
All Invasive Cancer Sites Combined,2002,Nebraska,8822
All Invasive Cancer Sites Combined,2002,Nevada,10337
All Invasive Cancer Sites Combined,2002,New Hampshire,6884
All Invasive Cancer Sites Combined,2002,New Jersey,48424
All Invasive Cancer Sites Combined,2002,New Mexico,7903
All Invasive Cancer Sites Combined,2002,New York,99545
All Invasive Cancer Sites Combined,2002,North Carolina,38227
All Invasive Cancer Sites Combined,2002,North Dakota,3322
All Invasive Cancer Sites Combined,2002,Ohio,58062
All Invasive Cancer Sites Combined,2002,Oklahoma,17375
All Invasive Cancer Sites Combined,2002,Oregon,17877
All Invasive Cancer Sites Combined,2002,Pennsylvania,74187
All Invasive Cancer Sites Combined,2002,Rhode Island,6253
All Invasive Cancer Sites Combined,2002,South Carolina,20953
All Invasive Cancer Sites Combined,2002,South Dakota,4344
All Invasive Cancer Sites Combined,2002,Tennessee,24395
All Invasive Cancer Sites Combined,2002,Texas,88877
All Invasive Cancer Sites Combined,2002,Utah,7192
All Invasive Cancer Sites Combined,2002,Vermont,3221
All Invasive Cancer Sites Combined,2002,Virginia,30661
All Invasive Cancer Sites Combined,2002,Washington,29663
All Invasive Cancer Sites Combined,2002,West Virginia,10791
All Invasive Cancer Sites Combined,2002,Wisconsin,27277
All Invasive Cancer Sites Combined,2002,Wyoming,2223
All Invasive Cancer Sites Combined,2003,Alabama,20823
All Invasive Cancer Sites Combined,2003,Alaska,2270
All Invasive Cancer Sites Combined,2003,Arizona,24064
All Invasive Cancer Sites Combined,2003,Arkansas,13852
All Invasive Cancer Sites Combined,2003,California,142760
All Invasive Cancer Sites Combined,2003,Colorado,18093
All Invasive Cancer Sites Combined,2003,Connecticut,19568
All Invasive Cancer Sites Combined,2003,Delaware,4349
All Invasive Cancer Sites Combined,2003,District of Columbia,3058
All Invasive Cancer Sites Combined,2003,Florida,103433
All Invasive Cancer Sites Combined,2003,Georgia,35867
All Invasive Cancer Sites Combined,2003,Hawaii,5759
All Invasive Cancer Sites Combined,2003,Idaho,6021
All Invasive Cancer Sites Combined,2003,Illinois,61051
All Invasive Cancer Sites Combined,2003,Indiana,30756
All Invasive Cancer Sites Combined,2003,Iowa,16087
All Invasive Cancer Sites Combined,2003,Kansas,13234
All Invasive Cancer Sites Combined,2003,Kentucky,22014
All Invasive Cancer Sites Combined,2003,Louisiana,21648
All Invasive Cancer Sites Combined,2003,Maine,7959
All Invasive Cancer Sites Combined,2003,Maryland,27240
All Invasive Cancer Sites Combined,2003,Massachusetts,34351
All Invasive Cancer Sites Combined,2003,Michigan,53370
All Invasive Cancer Sites Combined,2003,Minnesota,23736
All Invasive Cancer Sites Combined,2003,Mississippi,13249
All Invasive Cancer Sites Combined,2003,Missouri,28908
All Invasive Cancer Sites Combined,2003,Montana,5000
All Invasive Cancer Sites Combined,2003,Nebraska,8658
All Invasive Cancer Sites Combined,2003,Nevada,10376
All Invasive Cancer Sites Combined,2003,New Hampshire,6774
All Invasive Cancer Sites Combined,2003,New Jersey,46650
All Invasive Cancer Sites Combined,2003,New Mexico,7863
All Invasive Cancer Sites Combined,2003,New York,99614
All Invasive Cancer Sites Combined,2003,North Carolina,39000
All Invasive Cancer Sites Combined,2003,North Dakota,3303
All Invasive Cancer Sites Combined,2003,Ohio,57273
All Invasive Cancer Sites Combined,2003,Oklahoma,17988
All Invasive Cancer Sites Combined,2003,Oregon,17587
All Invasive Cancer Sites Combined,2003,Pennsylvania,73213
All Invasive Cancer Sites Combined,2003,Rhode Island,6049
All Invasive Cancer Sites Combined,2003,South Carolina,20696
All Invasive Cancer Sites Combined,2003,South Dakota,4033
All Invasive Cancer Sites Combined,2003,Tennessee,26041
All Invasive Cancer Sites Combined,2003,Texas,89994
All Invasive Cancer Sites Combined,2003,Utah,7500
All Invasive Cancer Sites Combined,2003,Vermont,3352
All Invasive Cancer Sites Combined,2003,Virginia,32939
All Invasive Cancer Sites Combined,2003,Washington,29850
All Invasive Cancer Sites Combined,2003,West Virginia,10562
All Invasive Cancer Sites Combined,2003,Wisconsin,27442
All Invasive Cancer Sites Combined,2003,Wyoming,2371
All Invasive Cancer Sites Combined,2004,Alabama,22286
All Invasive Cancer Sites Combined,2004,Alaska,2445
All Invasive Cancer Sites Combined,2004,Arizona,24552
All Invasive Cancer Sites Combined,2004,Arkansas,13945
All Invasive Cancer Sites Combined,2004,California,146689
All Invasive Cancer Sites Combined,2004,Colorado,18365
All Invasive Cancer Sites Combined,2004,Connecticut,19522
All Invasive Cancer Sites Combined,2004,Delaware,4527
All Invasive Cancer Sites Combined,2004,District of Columbia,2714
All Invasive Cancer Sites Combined,2004,Florida,103856
All Invasive Cancer Sites Combined,2004,Georgia,36951
All Invasive Cancer Sites Combined,2004,Hawaii,6049
All Invasive Cancer Sites Combined,2004,Idaho,6183
All Invasive Cancer Sites Combined,2004,Illinois,61656
All Invasive Cancer Sites Combined,2004,Indiana,30665
All Invasive Cancer Sites Combined,2004,Iowa,16287
All Invasive Cancer Sites Combined,2004,Kansas,13432
All Invasive Cancer Sites Combined,2004,Kentucky,22518
All Invasive Cancer Sites Combined,2004,Louisiana,22143
All Invasive Cancer Sites Combined,2004,Maine,8363
All Invasive Cancer Sites Combined,2004,Maryland,25578
All Invasive Cancer Sites Combined,2004,Massachusetts,34766
All Invasive Cancer Sites Combined,2004,Michigan,52658
All Invasive Cancer Sites Combined,2004,Minnesota,24524
All Invasive Cancer Sites Combined,2004,Mississippi,13569
All Invasive Cancer Sites Combined,2004,Missouri,29004
All Invasive Cancer Sites Combined,2004,Montana,4951
All Invasive Cancer Sites Combined,2004,Nebraska,8844
All Invasive Cancer Sites Combined,2004,Nevada,10849
All Invasive Cancer Sites Combined,2004,New Hampshire,7034
All Invasive Cancer Sites Combined,2004,New Jersey,47023
All Invasive Cancer Sites Combined,2004,New Mexico,8284
All Invasive Cancer Sites Combined,2004,New York,100606
All Invasive Cancer Sites Combined,2004,North Carolina,41846
All Invasive Cancer Sites Combined,2004,North Dakota,3345
All Invasive Cancer Sites Combined,2004,Ohio,58910
All Invasive Cancer Sites Combined,2004,Oklahoma,17790
All Invasive Cancer Sites Combined,2004,Oregon,18497
All Invasive Cancer Sites Combined,2004,Pennsylvania,73237
All Invasive Cancer Sites Combined,2004,Rhode Island,6323
All Invasive Cancer Sites Combined,2004,South Carolina,21208
All Invasive Cancer Sites Combined,2004,South Dakota,4055
All Invasive Cancer Sites Combined,2004,Tennessee,27821
All Invasive Cancer Sites Combined,2004,Texas,90810
All Invasive Cancer Sites Combined,2004,Utah,7793
All Invasive Cancer Sites Combined,2004,Vermont,3393
All Invasive Cancer Sites Combined,2004,Virginia,33570
All Invasive Cancer Sites Combined,2004,Washington,30764
All Invasive Cancer Sites Combined,2004,West Virginia,10807
All Invasive Cancer Sites Combined,2004,Wisconsin,27616
All Invasive Cancer Sites Combined,2004,Wyoming,2364
All Invasive Cancer Sites Combined,2005,Alabama,22704
All Invasive Cancer Sites Combined,2005,Alaska,2379
All Invasive Cancer Sites Combined,2005,Arizona,25412
All Invasive Cancer Sites Combined,2005,Arkansas,14248
All Invasive Cancer Sites Combined,2005,California,148691
All Invasive Cancer Sites Combined,2005,Colorado,18933
All Invasive Cancer Sites Combined,2005,Connecticut,19856
All Invasive Cancer Sites Combined,2005,Delaware,4830
All Invasive Cancer Sites Combined,2005,District of Columbia,2731
All Invasive Cancer Sites Combined,2005,Florida,107351
All Invasive Cancer Sites Combined,2005,Georgia,37648
All Invasive Cancer Sites Combined,2005,Hawaii,6129
All Invasive Cancer Sites Combined,2005,Idaho,6599
All Invasive Cancer Sites Combined,2005,Illinois,62098
All Invasive Cancer Sites Combined,2005,Indiana,31218
All Invasive Cancer Sites Combined,2005,Iowa,16514
All Invasive Cancer Sites Combined,2005,Kansas,13458
All Invasive Cancer Sites Combined,2005,Kentucky,22817
All Invasive Cancer Sites Combined,2005,Louisiana,21157
All Invasive Cancer Sites Combined,2005,Maine,8342
All Invasive Cancer Sites Combined,2005,Maryland,26003
All Invasive Cancer Sites Combined,2005,Massachusetts,35269
All Invasive Cancer Sites Combined,2005,Michigan,53231
All Invasive Cancer Sites Combined,2005,Minnesota,24659
All Invasive Cancer Sites Combined,2005,Mississippi,13733
All Invasive Cancer Sites Combined,2005,Missouri,30639
All Invasive Cancer Sites Combined,2005,Montana,5262
All Invasive Cancer Sites Combined,2005,Nebraska,9052
All Invasive Cancer Sites Combined,2005,Nevada,10726
All Invasive Cancer Sites Combined,2005,New Hampshire,7274
All Invasive Cancer Sites Combined,2005,New Jersey,47338
All Invasive Cancer Sites Combined,2005,New Mexico,8313
All Invasive Cancer Sites Combined,2005,New York,102093
All Invasive Cancer Sites Combined,2005,North Carolina,44108
All Invasive Cancer Sites Combined,2005,North Dakota,3490
All Invasive Cancer Sites Combined,2005,Ohio,60240
All Invasive Cancer Sites Combined,2005,Oklahoma,17912
All Invasive Cancer Sites Combined,2005,Oregon,18731
All Invasive Cancer Sites Combined,2005,Pennsylvania,74009
All Invasive Cancer Sites Combined,2005,Rhode Island,6035
All Invasive Cancer Sites Combined,2005,South Carolina,22036
All Invasive Cancer Sites Combined,2005,South Dakota,3963
All Invasive Cancer Sites Combined,2005,Tennessee,30375
All Invasive Cancer Sites Combined,2005,Texas,92873
All Invasive Cancer Sites Combined,2005,Utah,7953
All Invasive Cancer Sites Combined,2005,Vermont,3473
All Invasive Cancer Sites Combined,2005,Virginia,34684
All Invasive Cancer Sites Combined,2005,Washington,31487
All Invasive Cancer Sites Combined,2005,West Virginia,11154
All Invasive Cancer Sites Combined,2005,Wisconsin,28043
All Invasive Cancer Sites Combined,2005,Wyoming,2301
All Invasive Cancer Sites Combined,2006,Alabama,23407
All Invasive Cancer Sites Combined,2006,Alaska,2517
All Invasive Cancer Sites Combined,2006,Arizona,26587
All Invasive Cancer Sites Combined,2006,Arkansas,14445
All Invasive Cancer Sites Combined,2006,California,150311
All Invasive Cancer Sites Combined,2006,Colorado,19322
All Invasive Cancer Sites Combined,2006,Connecticut,20625
All Invasive Cancer Sites Combined,2006,Delaware,5107
All Invasive Cancer Sites Combined,2006,District of Columbia,2749
All Invasive Cancer Sites Combined,2006,Florida,108402
All Invasive Cancer Sites Combined,2006,Georgia,39513
All Invasive Cancer Sites Combined,2006,Hawaii,6220
All Invasive Cancer Sites Combined,2006,Idaho,6790
All Invasive Cancer Sites Combined,2006,Illinois,64004
All Invasive Cancer Sites Combined,2006,Indiana,32244
All Invasive Cancer Sites Combined,2006,Iowa,16824
All Invasive Cancer Sites Combined,2006,Kansas,13787
All Invasive Cancer Sites Combined,2006,Kentucky,24004
All Invasive Cancer Sites Combined,2006,Louisiana,21685
All Invasive Cancer Sites Combined,2006,Maine,8665
All Invasive Cancer Sites Combined,2006,Maryland,26177
All Invasive Cancer Sites Combined,2006,Massachusetts,36382
All Invasive Cancer Sites Combined,2006,Michigan,54125
All Invasive Cancer Sites Combined,2006,Minnesota,25555
All Invasive Cancer Sites Combined,2006,Mississippi,14342
All Invasive Cancer Sites Combined,2006,Missouri,30790
All Invasive Cancer Sites Combined,2006,Montana,5291
All Invasive Cancer Sites Combined,2006,Nebraska,9226
All Invasive Cancer Sites Combined,2006,Nevada,11394
All Invasive Cancer Sites Combined,2006,New Hampshire,7317
All Invasive Cancer Sites Combined,2006,New Jersey,48887
All Invasive Cancer Sites Combined,2006,New Mexico,8542
All Invasive Cancer Sites Combined,2006,New York,105076
All Invasive Cancer Sites Combined,2006,North Carolina,45463
All Invasive Cancer Sites Combined,2006,North Dakota,3523
All Invasive Cancer Sites Combined,2006,Ohio,60898
All Invasive Cancer Sites Combined,2006,Oklahoma,18993
